instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,month,month_name,month_year,season_label,weather_label,weekday_label,day_type,temp_celsius,atemp_celsius,humidity_percent,windspeed_kmh,casual_share,registered_share,demand_segment
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Saturday,Non-Working Day,9.84,14.395,81.0,0.0,0.1875,0.8125,Low
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Saturday,Non-Working Day,9.02,13.635,80.0,0.0,0.2,0.8,Low
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Saturday,Non-Working Day,9.02,13.635,80.0,0.0,0.15625,0.84375,Low
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Saturday,Non-Working Day,9.84,14.395,75.0,0.0,0.23076923076923078,0.7692307692307693,Low
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Saturday,Non-Working Day,9.84,14.395,75.0,0.0,0.0,1.0,Low
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Saturday,Non-Working Day,9.84,12.879999999999999,75.0,6.0032,0.0,1.0,Low
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Saturday,Non-Working Day,9.02,13.635,80.0,0.0,1.0,0.0,Low
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Saturday,Non-Working Day,8.200000000000001,12.879999999999999,86.0,0.0,0.3333333333333333,0.6666666666666666,Low
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Saturday,Non-Working Day,9.84,14.395,75.0,0.0,0.125,0.875,Low
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Saturday,Non-Working Day,13.120000000000001,17.424999999999997,76.0,0.0,0.5714285714285714,0.42857142857142855,Low
